Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I212,Depressed face 2,Person,Pixabay,3.82407407407407,1.03966838443897,108,3.01923076923077,1.51356820887846,104,I212,3.947368421,0.914585242,57,3.68627451,1.157414292,51,3,1.554563176,49,3.036363636,1.490260186,55
I245,Doctor 4,Person,Pixabay,3.81188118811881,1.1976048704571,101,3.88349514563107,1.82735730578763,103,I245,3.827586207,1.24446749,58,3.790697674,1.145553298,43,3.897959184,1.794028265,49,3.886792453,1.887819024,53
I526,Neutral pose 3,Person,Pixabay,3.81188118811881,0.560586679954647,101,2.60194174757282,1.43718001263942,103,I526,3.862068966,0.544454527,58,3.744186047,0.581173823,43,2.612244898,1.335669722,49,2.622641509,1.534556001,53
I728,Shark 3,Animal,Pixabay,3.81188118811881,1.22239822715127,101,4.33980582524272,1.64229274251657,103,I728,3.775862069,1.257163382,58,3.860465116,1.186860511,43,4.448979592,1.646476345,49,4.226415094,1.659952611,53
I732,Shark 7,Animal,Wikipedia,3.81188118811881,1.1892255571348,101,4.28155339805825,1.65930221412706,103,I732,3.724137931,1.166688272,58,3.930232558,1.222708719,43,4.510204082,1.621758934,49,4.037735849,1.675183849,53
I844,Toilet 1,Object,Pixabay,3.80392156862745,0.844776796184514,102,2.35643564356436,1.48043343934026,101,I844,3.931818182,0.789398572,44,3.706896552,0.878767492,58,2.574468085,1.556817837,47,2.153846154,1.391636297,52
I90,Bored pose 5,Person,All-free-download.com,3.8019801980198,0.927575355215931,101,3.03883495145631,1.48800649704126,103,I90,3.965517241,0.954500278,58,3.581395349,0.851680639,43,3.489795918,1.542757933,49,2.603773585,1.320542177,53
I25,Animal carcass 4,Animal,Wikipedia,3.79411764705882,1.3667786460178,102,4.1980198019802,1.61876373804331,101,I25,3.911111111,1.258105036,45,3.732142857,1.44588534,56,4.1632653060000004,1.559205711,49,4.230769231,1.687501746,52
I890,Woods 1,Scene,Pixabay,3.7843137254902,1.27137137293891,102,3.16831683168317,1.50379059001374,101,I890,3.711111111,1.198905225,45,3.803571429,1.313145327,56,3,1.369306394,49,3.326923077,1.617564786,52
I315,Fence 5,Object,Pixabay,3.77450980392157,1.04271981318752,102,2.06930693069307,1.43008689066486,101,I315,3.888888889,0.831816802,45,3.678571429,1.192509087,56,2.06122449,1.375502382,49,2.076923077,1.493070975,52
