SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT04,Dog attack 1.jpg,0,0,0,1,999,999,999,999,0,12.745068200049,999,999
AMYR21PT04,Picnic 4.jpg,0,0,1,0,999,999,999,999,0,4.90409159997944,999,999
AMYR21PT04,Police 5.jpg,0,0,0,1,999,999,999,999,0,10.5825206000591,999,999
AMYR21PT04,Celebration 1.jpg,0,0,1,0,999,999,999,999,1,4.81894010002725,999,999
AMYR21PT04,Skydiving 5.jpg,0,0,1,1,999,999,999,999,0,6.6194629999809,999,999
AMYR21PT04,Barbeque 1.jpg,1,0,1,0,999,999,999,999,0,6.82640949997585,999,999
AMYR21PT04,Bored pose 3.jpg,0,0,0,0,999,999,999,999,0,5.96377759997267,999,999
AMYR21PT04,Band 1.jpg,0,0,1,0,999,999,999,999,1,8.6999789000256,999,999
AMYR21PT04,Sleepy pose 1.jpg,0,0,0,0,999,999,999,999,1,1.45627970003989,999,999
AMYR21PT04,Destruction 8.jpg,1,0,0,1,999,999,999,999,0,12.175104499911,999,999
AMYR21PT04,Camping 1.jpg,1,1,1,0,999,999,999,999,1,7.2987059999723,999,999
AMYR21PT04,Camping 4.jpg,1,0,1,0,999,999,999,999,1,3.28225579997525,999,999
AMYR21PT04,Soldiers 8.jpg,0,0,0,0,999,999,999,999,0,4.39115989999846,999,999
AMYR21PT04,Sailing 1.jpg,0,0,1,1,999,999,999,999,0,4.33189550007228,999,999
AMYR21PT04,Shooting 1.jpg,1,1,0,1,999,999,999,999,1,2.48946589999832,999,999
AMYR21PT04,Dead bodies 3.jpg,0,0,0,1,999,999,999,999,0,4.72680900001433,999,999
AMYR21PT04,Happy pose 2.jpg,1,0,1,0,999,999,999,999,1,5.66742920002434,999,999
AMYR21PT04,Ambulance 1.jpg,1,0,0,1,999,999,999,999,0,2.66908859997056,999,999
AMYR21PT04,Nude couple 10.jpg,0,0,1,1,999,999,999,999,1,3.12418069993146,999,999
