,Theme,Category,Source,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I354,Food 1,2,Pixabay,4.795454545,0.978359934,44,4.879310345,1.060909676,58,3.276595745,1.570130535,47,2.980769231,1.47515881,52
I355,Food 2,2,Pixabay,5.350877193,1.141603322,57,5.333333333,1.465150732,51,3.040816327,1.914410088,49,2.890909091,1.901974873,55
I356,Food 3,2,Pixabay,5.181818182,0.84282822,44,5.396551724,1.153783329,58,2.914893617,1.54398957,47,2.769230769,1.766966877,52
I357,Food 4,2,Pixabay,5.631578947,0.878951871,57,5.588235294,1.061630267,51,3.183673469,1.844738796,49,3.636363636,1.809068067,55
I358,Food 5,2,Pixabay,5.222222222,1.063632047,45,5.678571429,0.992831449,56,3.142857143,1.683250823,49,3.153846154,1.764404197,52
I359,Food 6,2,Pixabay,5.577777778,1.055050384,45,5.75,0.919486022,56,3.775510204,1.71105847,49,3.576923077,1.786069777,52
I360,Football player 1,3,Pixabay,4.894736842,1.291237094,57,4.62745098,1.076304498,51,3.326530612,1.700340102,49,3.8,1.470701521,55
I361,Frisbee 1,3,Pixabay,5.488888889,1.057918673,45,5.642857143,1.256670513,56,3.265306122,1.591324268,49,3.173076923,1.543120773,52
I362,Frustrated pose 1,3,Wikipedia,2.644444444,1.227628082,45,2.142857143,0.772918235,56,4.367346939,1.822245382,49,4.134615385,1.804448166,52
I363,Frustrated pose 2,3,Pixabay,2.727272727,0.898671794,44,2.568965517,0.840051564,58,3.382978723,1.635917393,47,3.653846154,1.667269876,52
I364,Frustrated pose 3,3,Pixabay,2.456140351,0.92717265,57,2.235294118,0.838766601,51,3.265306122,1.617295971,49,3.818181818,1.896301557,55
I365,Frustrated pose 4,3,Wikipedia,3.386363636,0.753778361,44,3.448275862,0.976431271,58,3.042553191,1.587415822,47,3.519230769,1.350241585,52
I366,Frustrated pose 5,3,Wikipedia,2.533333333,1.17936809,45,2.428571429,0.805822964,56,3.591836735,1.682240165,49,3.884615385,1.733791563,52
I367,Frustrated pose 6,3,Flickr/Emergency Brake,4.793103448,1.055621887,58,4.534883721,0.984374039,43,4.448979592,1.671591364,49,3.679245283,1.826867695,53
I368,Frustrated pose 7,3,Wikipedia,2.772727273,0.936684811,44,2.637931034,1.071124608,58,3.130434783,1.484867306,46,3.403846154,1.611960387,52
I369,Frustrated pose 8,3,Pixabay,3.771929825,1.052506258,57,3.705882353,0.831723936,51,3.040816327,1.606745983,49,3.654545455,1.786971179,55
I370,Funeral 1,4,Pixabay,2.777777778,1.203949729,45,3.071428571,1.141882701,56,4.102040816,1.917516818,49,4.365384615,1.878973919,52
I371,Galaxy 1,4,Pixabay,5.711111111,1.17979625,45,5.535714286,1.174955097,56,4.265306122,1.923273145,49,3.923076923,2.008278493,52
I372,Galaxy 2,4,Pixabay,5.689655172,1.012325732,58,5.88372093,1.051287246,43,4.632653061,1.833642522,49,4.283018868,2.003625162,53
I373,Galaxy 3,4,Pixabay,5.644444444,1.281965032,45,5.321428571,1.192509087,56,4.265306122,1.823178431,49,3.769230769,1.936394311,52
I374,Galaxy 4,4,Pixabay,5.454545455,1.150420458,44,5.413793103,1.311681427,58,4.29787234,1.804762945,47,4.557692308,2.023523054,52
I375,Galaxy 5,4,Pixabay,5.517241379,0.941096399,58,5.744186047,1.025694266,43,4.489795918,1.63455459,49,4.339622642,1.900843904,53
I376,Galaxy 6,4,Pixabay,5.363636364,1.013648925,44,5.327586207,1.342790117,58,4.063829787,1.566000935,47,4.211538462,1.983624514,52
I377,Galaxy 7,4,Pixabay,6.105263158,0.994344912,57,6.019607843,1.086097529,51,4.673469388,1.951364428,49,4.345454545,2.127580628,55
I378,Galaxy 8,4,Pixabay,5.659090909,1.098480596,44,5.413793103,1.199919336,58,4.425531915,1.703508922,47,4.711538462,2.042072558,52
